出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
110/05/15,109,2,1101,台泥,52439827,35779548,--,--,16660279,--,--,16660279,2875517,--,13784762,1754828,15539590,3413905,12125685,--,--,12125685,-7549496,--,4576189,10934623,--,1191062,3509985,--,1066204,1.94
110/05/15,109,2,1102,亞泥,33828093,24453090,--,--,9375003,--,--,9375003,1942527,--,7432476,1852112,9284588,2450770,6833818,--,--,6833818,-5029159,--,1804659,5411178,--,1422640,909615,--,895044,1.73
110/05/15,109,2,1103,嘉泥,992319,1014902,--,--,-22583,--,--,-22583,294888,--,-317471,459508,142037,195283,-53246,1499,--,-51747,-586178,--,-637925,-70213,--,18466,-635078,--,-2847,-0.11
110/05/15,109,2,1104,環泥,2591631,2197945,--,--,393686,--,--,393686,210881,--,182805,334160,516965,30990,485975,--,--,485975,-440480,--,45495,479743,--,6232,39263,--,6232,0.73
110/05/15,109,2,1108,幸福,2226696,1833466,--,--,393230,--,--,393230,134741,80,258569,-12181,246388,17968,228420,0,--,228420,-4642,--,223778,228420,--,0,223778,--,0,0.56
110/05/15,109,2,1109,信大,3255948,2176596,--,--,1079352,--,--,1079352,240277,--,839075,-6267,832808,355363,477445,--,--,477445,-123332,--,354113,316873,--,160572,235816,--,118297,0.93
110/05/15,109,2,1110,東泥,770491,750024,--,--,20467,--,--,20467,43690,--,-23223,4152,-19071,2096,-21167,--,--,-21167,-110616,--,-131783,-19558,--,-1609,-130242,--,-1541,-0.03
110/05/15,109,2,1201,味全,8591862,6145939,--,--,2445923,--,--,2445923,2270739,--,175184,-78351,96833,-12051,108884,--,--,108884,-90528,--,18356,108470,--,414,18014,--,342,0.21
110/05/15,109,2,1203,味王,3019057,2006170,--,--,1012887,0,0,1012887,556202,--,456685,9603,466288,115045,351243,0,--,351243,-147617,--,203626,222051,--,129192,137436,--,66190,0.93
110/05/15,109,2,1210,大成,37483260,31881643,--,--,5601617,--,--,5601617,3689811,--,1911806,152628,2064434,369065,1695369,--,--,1695369,-326136,--,1369233,1298286,--,397083,1141808,--,227425,1.66
110/05/15,109,2,1213,大飲,166432,172865,--,--,-6433,--,--,-6433,29399,--,-35832,28210,-7622,-3893,-3729,--,--,-3729,13,--,-3716,-3729,--,--,-3716,--,--,-0.07
110/05/15,109,2,1215,卜蜂,10669093,9144745,--,--,1524348,--,--,1524348,785468,31070,769950,89814,859764,166749,693015,-2250,--,690765,214136,--,904901,699454,--,-8689,913885,--,-8984,2.61
110/05/15,109,2,1216,統一,218737542,142821758,--,--,75915784,--,--,75915784,60226240,--,15689544,4077887,19767431,4215104,15552327,--,--,15552327,-4653366,--,10898961,10835679,--,4716648,8745406,--,2153555,1.91
110/05/15,109,2,1217,愛之味,2150570,1428597,--,--,721973,--,--,721973,592669,--,129304,-28568,100736,19331,81405,0,--,81405,-38435,--,42970,75170,--,6235,39361,--,3609,0.15
110/05/15,109,2,1218,泰山,3801295,3073672,--,--,727623,1149,721,727195,587213,--,139982,238858,378840,24812,354028,--,--,354028,5165,--,359193,353822,--,206,358980,--,213,0.73
110/05/15,109,2,1219,福壽,5908028,5343059,--,10000,574969,--,--,574969,497893,--,77076,282648,359724,49578,310146,--,--,310146,-3350,--,306796,342093,--,-31947,339312,--,-32516,1.06
110/05/15,109,2,1220,台榮,1242906,1052814,--,--,190092,--,--,190092,111079,--,79013,9395,88408,17352,71056,--,--,71056,0,--,71056,69388,--,1668,69388,--,1668,0.39
110/05/15,109,2,1225,福懋油,4979882,4536873,19492,--,462501,635,--,461866,280892,279,181253,20391,201644,44915,156729,--,--,156729,-17341,--,139388,142028,--,14701,124687,--,14701,0.65
110/05/15,109,2,1227,佳格,14624069,10262762,--,--,4361307,--,--,4361307,2378470,--,1982837,92315,2075152,482085,1593067,--,--,1593067,-197359,--,1395708,1585671,--,7396,1386043,--,9665,1.75
110/05/15,109,2,1229,聯華,4757903,3456340,--,--,1301563,--,--,1301563,474326,--,827237,890719,1717956,69795,1648161,--,--,1648161,1664329,--,3312490,1253446,--,394715,2096843,--,1215647,1.14
110/05/15,109,2,1231,聯華食,4103744,3270672,--,--,833072,--,--,833072,565417,--,267655,30319,297974,59073,238901,--,--,238901,-6642,--,232259,238968,--,-67,232804,--,-545,1.3
110/05/15,109,2,1232,大統益,8025240,6988729,--,--,1036511,--,--,1036511,382660,--,653851,16287,670138,137201,532937,--,--,532937,--,--,532937,518806,--,14131,518806,--,14131,3.24
110/05/15,109,2,1233,天仁,895916,388525,--,--,507391,--,--,507391,505614,--,1777,10294,12071,-537,12608,0,--,12608,-48776,--,-36168,12474,--,134,-36073,--,-95,0.14
110/05/15,109,2,1234,黑松,4072986,3011626,--,--,1061360,--,--,1061360,938215,--,123145,200110,323255,43156,280099,--,--,280099,-16303,--,263796,280099,--,--,263796,--,--,0.7
110/05/15,109,2,1235,興泰,11058,10678,--,--,380,--,--,380,6581,--,-6201,-4886,-11087,19,-11106,--,--,-11106,548461,--,537355,-11106,--,--,537355,--,--,-0.12
110/05/15,109,2,1236,宏亞,687064,513694,--,--,173370,--,--,173370,218797,--,-45427,5739,-39688,-619,-39069,--,--,-39069,16717,--,-22352,-39069,--,--,-22352,--,0,-0.36
110/05/15,109,2,1256,鮮活果汁-KY,1275216,734002,--,--,541214,--,--,541214,252663,--,288551,19078,307629,84078,223551,--,--,223551,-56217,--,167334,223741,--,-190,168348,--,-1014,6.61
110/05/15,109,2,1301,台塑,85003282,74418107,--,--,10585175,--,--,10585175,5672778,--,4912397,-4889843,22554,1046867,-1024313,--,--,-1024313,-29823363,--,-30847676,-1024313,--,--,-30847676,--,--,-0.16
110/05/15,109,2,1303,南亞,126182089,111002617,--,--,15179472,--,-1487,15177985,9006290,--,6171695,-1178131,4993564,1353277,3640287,--,--,3640287,-21020276,--,-17379989,3170290,--,469997,-17759687,--,379698,0.4
110/05/15,109,2,1304,台聚,22212802,18865118,--,--,3347684,--,--,3347684,1615184,--,1732500,12390,1744890,433995,1310895,1456,--,1312351,-564345,--,748006,511800,--,800551,332791,--,415215,0.48
110/05/15,109,2,1305,華夏,5878270,5044404,--,--,833866,--,--,833866,511926,--,321940,25085,347025,64476,282549,1456,--,284005,15775,--,299780,255851,--,28154,271583,--,28197,0.46
110/05/15,109,2,1307,三芳,4128512,3316616,--,--,811896,--,--,811896,735279,--,76617,-19815,56802,32335,24467,--,--,24467,-110489,--,-86022,24467,--,--,-86022,--,--,0.06
110/05/15,109,2,1308,亞聚,2672062,2232848,--,--,439214,--,--,439214,103446,--,335768,102734,438502,70882,367620,--,--,367620,-281214,--,86406,367620,--,--,86406,--,--,0.63
110/05/15,109,2,1309,台達化,6524985,5617094,--,--,907891,--,--,907891,313788,--,594103,21577,615680,144853,470827,--,--,470827,-69064,--,401763,470827,--,--,401763,--,--,1.37
110/05/15,109,2,1310,台苯,3575334,3772206,--,--,-196872,--,--,-196872,99386,0,-296258,128297,-167961,-1469,-166492,--,--,-166492,-72874,--,-239366,-166268,--,-224,-237033,--,-2333,-0.32
110/05/15,109,2,1312,國喬,7205890,6448037,--,--,757853,--,--,757853,587592,--,170261,823391,993652,226620,767032,--,--,767032,-840520,--,-73488,711842,--,55190,59975,--,-133463,0.78
110/05/15,109,2,1313,聯成,21098089,20271171,--,--,826918,--,--,826918,1008361,--,-181443,-86578,-268021,-60579,-207442,--,--,-207442,517866,--,310424,-207442,--,--,310424,--,--,-0.16
110/05/15,109,2,1314,中石化,9385146,9426034,--,--,-40888,--,--,-40888,794239,--,-835127,714636,-120491,-584436,463945,--,--,463945,-355793,--,108152,466167,--,-2222,110685,--,-2533,0.14
110/05/15,109,2,1315,達新,1002853,838902,--,--,163951,--,--,163951,173336,--,-9385,5747932,5738547,502907,5235640,--,--,5235640,-173529,--,5062111,5234877,--,763,5061818,--,293,27.43
110/05/15,109,2,1316,上曜,840250,757117,--,--,83133,--,--,83133,149935,--,-66802,-30006,-96808,14561,-111369,55451,--,-55918,37657,--,-18261,-95132,--,39214,-88328,--,70067,-0.58
110/05/15,109,2,1319,東陽,8101206,6573710,--,--,1527496,--,--,1527496,1405440,--,122056,204615,326671,21552,305119,--,--,305119,-366810,--,-61691,365690,--,-60571,15065,--,-76756,0.62
110/05/15,109,2,1321,大洋,2168027,1970943,--,--,197084,--,--,197084,157110,--,39974,46968,86942,-1,86943,341055,--,427998,163520,--,591518,427998,--,--,591518,--,--,1.94
110/05/15,109,2,1323,永裕,1661829,1222694,--,--,439135,--,--,439135,198249,--,240886,12681,253567,62232,191335,--,--,191335,-42053,--,149282,159320,--,32015,117267,--,32015,1.75
110/05/15,109,2,1324,地球,532946,440859,--,--,92087,--,--,92087,89381,--,2706,6351,9057,1264,7793,--,--,7793,-7282,--,511,7793,--,0,511,--,0,0.1
110/05/15,109,2,1325,恆大,1668488,630631,--,--,1037857,--,--,1037857,83858,--,953999,3702,957701,192818,764883,--,--,764883,149511,--,914394,738305,--,26578,889861,--,24533,8.66
110/05/15,109,2,1326,台化,120431899,112791093,--,--,7640806,--,--,7640806,7018086,--,622720,-2734494,-2111774,418540,-2530314,-484,--,-2530798,-37790069,--,-40320867,-3467101,--,936303,-38026353,--,-2294514,-0.59
110/05/15,109,2,1337,再生-KY,390478,482890,--,--,-92412,--,--,-92412,161260,--,-253672,23408,-230264,0,-230264,--,--,-230264,-191194,--,-421458,-230264,--,--,-421458,--,--,-0.86
110/05/15,109,2,1338,廣華-KY,2364851,1929866,--,--,434985,--,--,434985,486542,--,-51557,84823,33266,26169,7097,--,--,7097,-328941,--,-321844,12539,--,-5442,-265027,--,-56817,0.15
110/05/15,109,2,1339,昭輝,922218,650839,--,--,271379,--,--,271379,138934,--,132445,-55061,77384,32011,45373,--,--,45373,-27447,--,17926,49564,--,-4191,24864,--,-6938,0.67
110/05/15,109,2,1340,勝悅-KY,259581,380426,--,--,-120845,--,--,-120845,57633,--,-178478,7894,-170584,1087,-171671,--,--,-171671,-152275,--,-323946,-171671,--,--,-323946,--,--,-1.12
110/05/15,109,2,1341,富林-KY,1185748,950280,--,--,235468,--,--,235468,111803,--,123665,2813,126478,27001,99477,--,--,99477,-25016,--,74461,99477,--,--,74461,--,--,2.01
110/05/15,109,2,1342,八貫,712393,544405,--,--,167988,--,--,167988,64593,56,103451,7301,110752,22209,88543,--,--,88543,--,--,88543,--,--,--,--,--,--,1.44
110/05/15,109,2,1402,遠東新,101179903,82063429,--,--,19116474,--,278,19116752,14927803,--,4188949,3823916,8012865,1690615,6322250,--,--,6322250,-2895707,--,3426543,3688731,--,2633519,1080364,--,2346179,0.74
110/05/15,109,2,1410,南染,199698,129216,--,--,70482,--,--,70482,33076,--,37406,-674,36732,7844,28888,--,--,28888,-1150,--,27738,28298,--,590,27148,--,590,0.45
110/05/15,109,2,1413,宏洲,762907,831884,--,--,-68977,--,--,-68977,36803,--,-105780,4460,-101320,8,-101328,--,--,-101328,0,--,-101328,--,--,--,--,--,--,-0.77
110/05/15,109,2,1414,東和,329804,313849,--,--,15955,--,--,15955,33715,--,-17760,14217,-3543,-1063,-2480,--,--,-2480,7554,--,5074,--,--,--,--,--,--,-0.01
110/05/15,109,2,1416,廣豐,112308,26642,--,--,85666,--,--,85666,134007,--,-48341,-187811,-236152,-46343,-189809,--,--,-189809,-18967,--,-208776,-189809,--,--,-208776,--,--,-1.02
110/05/15,109,2,1417,嘉裕,503845,373744,--,--,130101,--,--,130101,264550,--,-134449,47739,-86710,-143,-86567,--,--,-86567,-106109,--,-192676,-86567,--,--,-192676,--,--,-0.46
110/05/15,109,2,1418,東華,54991,140981,--,--,-85990,--,--,-85990,31726,0,-117716,-7891,-125607,88,-125695,--,--,-125695,-992,--,-126687,-125684,--,-11,-126676,--,-11,-2.32
110/05/15,109,2,1419,新紡,996698,731941,--,--,264757,--,--,264757,231693,-102,32962,-1881,31081,5775,25306,--,--,25306,-240874,--,-215568,25734,--,-428,-215134,--,-434,0.09
110/05/15,109,2,1423,利華,122631,214688,--,--,-92057,--,--,-92057,13676,--,-105733,15157,-90576,-9645,-80931,--,--,-80931,19545,--,-61386,--,--,--,--,--,--,-0.58
110/05/15,109,2,1432,大魯閣,583834,58400,--,--,525434,--,--,525434,547831,--,-22397,-30426,-52823,1141,-53964,--,--,-53964,-26539,--,-80503,-47913,--,-6051,-74462,--,-6041,-0.64
110/05/15,109,2,1434,福懋,15032010,13349985,--,--,1682025,--,--,1682025,1259124,--,422901,1338731,1761632,124258,1637374,-484,--,1636890,-5099190,--,-3462300,1637132,--,-242,-3462058,--,-242,0.97
110/05/15,109,2,1435,中福,7544,536,--,--,7008,--,--,7008,16931,--,-9923,1428,-8495,--,-8495,--,--,-8495,-14391,--,-22886,-8495,--,0,-22886,--,0,-0.07
110/05/15,109,2,1436,華友聯,670769,480041,--,--,190728,--,--,190728,79934,--,110794,-41084,69710,9175,60535,--,--,60535,514,--,61049,60535,--,--,61049,--,--,0.63
110/05/15,109,2,1437,勤益控,299919,69972,--,--,229947,--,--,229947,37747,--,192200,-3395,188805,52089,136716,0,--,136716,-117950,--,18766,137160,--,-444,19068,--,-302,0.67
110/05/15,109,2,1438,三地開發,98423,34930,--,--,63493,0,0,63493,10922,--,52571,1087,53658,1456,52202,--,--,52202,--,--,52202,--,--,--,--,--,--,0.51
110/05/15,109,2,1439,中和,69828,70489,--,--,-661,--,--,-661,15423,--,-16084,-10265,-26349,3948,-30297,--,--,-30297,-4055,--,-34352,-30297,--,--,-34352,--,--,-0.33
110/05/15,109,2,1440,南紡,8600574,7969042,--,--,631532,--,--,631532,953043,--,-321511,219276,-102235,-63217,-39018,--,--,-39018,39408,--,390,-73563,--,34545,-31579,--,31969,-0.04
110/05/15,109,2,1441,大東,788826,891678,--,--,-102852,--,--,-102852,91005,--,-193857,-29070,-222927,-3339,-219588,--,--,-219588,-17078,--,-236666,-194064,--,-25524,-210845,--,-25821,-1.93
110/05/15,109,2,1442,名軒,487404,391545,--,--,95859,--,--,95859,74721,--,21138,-9034,12104,7408,4696,--,--,4696,-3108,--,1588,4696,--,0,1588,--,0,0.02
110/05/15,109,2,1443,立益,265972,201034,--,--,64938,--,--,64938,33167,--,31771,-104974,-73203,-1250,-71953,-6691,--,-78644,35362,--,-43282,-43818,--,-34826,-26285,--,-16997,-0.32
110/05/15,109,2,1444,力麗,4111356,3978463,--,--,132893,--,80,132973,291547,--,-158574,-169273,-327847,-34120,-293727,--,--,-293727,-259581,--,-553308,-260568,--,-33159,-490637,--,-62671,-0.27
110/05/15,109,2,1445,大宇,482425,476188,--,--,6237,--,--,6237,60443,--,-54206,7519,-46687,-13440,-33247,0,--,-33247,9179,--,-24068,-33247,0,0,-24068,0,0,-0.25
110/05/15,109,2,1446,宏和,238569,181928,--,--,56641,--,--,56641,97160,--,-40519,3123,-37396,1831,-39227,--,--,-39227,3164,--,-36063,-39227,--,--,-36063,--,--,-0.28
