出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
110/05/15,109,4,1101,台泥,114367247,76779667,--,--,37587580,--,--,37587580,6245763,--,31341817,4011489,35353306,7361913,27991393,--,--,27991393,-2495498,--,25495895,25099309,--,2892084,22708608,--,2787287,4.32
110/05/15,109,4,1102,亞泥,78240880,54911404,--,--,23329476,0,--,23329476,3659338,--,19670138,4473745,24143883,5370076,18773807,--,--,18773807,-1189331,--,17584476,14710486,--,4063321,13255580,--,4328896,4.7
110/05/15,109,4,1103,嘉泥,2058417,2202158,--,--,-143741,--,--,-143741,603155,1569463,822567,1283475,2106042,269547,1836495,1499,--,1837994,300229,--,2138223,1764366,--,73628,2051467,--,86756,2.74
110/05/15,109,4,1104,環泥,5426217,4519186,--,--,907031,--,--,907031,413889,--,493142,804372,1297514,37719,1259795,--,--,1259795,79230,--,1339025,1247252,--,12543,1326470,--,12555,1.91
110/05/15,109,4,1108,幸福,4530172,3813497,--,--,716675,--,--,716675,260241,-8959,447475,-3067,444408,52139,392269,0,--,392269,4426,--,396695,392269,--,0,396695,--,0,0.97
110/05/15,109,4,1109,信大,7593294,4983512,--,--,2609782,--,--,2609782,507423,--,2102359,16072,2118431,669558,1448873,--,--,1448873,80293,--,1529166,1004034,--,444839,1055403,--,473763,2.94
110/05/15,109,4,1110,東泥,1590986,1523614,--,--,67372,--,--,67372,97945,--,-30573,38003,7430,-9519,16949,--,--,16949,689,--,17638,22158,--,-5209,22729,--,-5091,0.04
110/05/15,109,4,1201,味全,18650871,13206608,--,--,5444263,--,--,5444263,4849210,--,595053,-52165,542888,6746,536142,--,--,536142,51721,--,587863,535196,--,946,586864,--,999,1.06
110/05/15,109,4,1203,味王,6043700,3999778,--,--,2043922,--,--,2043922,1069011,--,974911,-33621,941290,247369,693921,0,--,693921,-206686,--,487235,429096,--,264825,305045,--,182190,1.81
110/05/15,109,4,1210,大成,81650892,69388663,--,--,12262229,--,--,12262229,8050281,--,4211948,771540,4983488,911142,4072346,--,--,4072346,629592,--,4701938,3122071,--,950275,3605841,--,1096097,3.99
