公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
1101,台泥,22037.65,25.07,19.09,22.03,16.93
1102,亞泥,17877.39,24.39,20.83,26.54,21.53
1103,嘉泥,544.53,-1.88,-24.84,-20.35,-22.09
1104,環泥,1440.5,17.41,9.83,17.96,16.46
1108,幸福,1045.95,13.34,7.36,6.81,5.2
1109,信大,1812.35,33.21,26.99,28.56,22.09
1110,東泥,387.34,6.54,0.74,5.16,3.67
1201,味全,4372.01,29.2,2.19,2.67,1.94
1203,味王,1490.55,34.48,17.42,19.77,14.49
1210,大成,22637.98,13.83,3.85,5.04,4.08
1213,大飲,102.26,2.94,-11.56,-13.4,-13.36
1215,卜蜂,5718.99,15.82,8.19,8.2,6.62
1216,統一,115462,33.9,6.43,8.23,6.75
1217,愛之味,1095.84,31.57,5.61,7.78,6.68
1218,泰山,2259.04,16.33,3.39,8.17,7.31
1219,福壽,3720.35,13.79,6.38,7.21,6.13
1220,台榮,708.21,19.69,11.94,12.71,10.29
1225,福懋油,3095.54,12.56,7.35,8.34,6.79
1227,佳格,8269,25.46,8.71,8.77,6.91
1229,聯華,2225.29,22.16,10.11,60.6,59.25
1231,聯華食,2373.55,23.51,9.33,9.8,7.89
1232,大統益,4842.73,16.42,11.64,12.84,10.27
1233,天仁,478.62,58.83,4.42,4.25,3.45
1234,黑松,2214.9,22.01,2.55,7.69,6
1235,興泰,3.82,-58.68,-131.9,-328.66,-336.06
1236,宏亞,540.61,31.81,9.94,11.29,11.33
1256,鮮活果汁-KY,993.99,44.82,26.12,27.28,19.94
1301,台塑,60601.94,27.32,21.26,29.8,24.69
1303,南亞,89710.69,23.83,18.1,24.27,20.25
1304,台聚,16194.18,27.52,19.79,20.16,15.9
1305,華夏,4978.67,32.08,22.17,22.22,17.81
1307,三芳,2589.09,24.25,10.34,10.31,7.9
1308,亞聚,1852.61,34.7,30.87,36.11,29.96
1309,台達化,4536.15,18.36,13,13.94,10.77
1310,台苯,2137.88,13.44,10.26,13.27,11.29
