,民國110年01月,,,,,,,January 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101   台泥,"17,431,586,700","418,560,254","185,895",41.65,41.79,40.15,43.50,01/04,40.15,01/29,7.29
1101B  台泥乙特,"21,429,743","400,018",200,53.57,53.79,53.80,53.80,01/29,53.30,01/13,0.20
1102   亞泥,"5,148,867,365","123,075,110","57,369",41.84,41.94,40.00,43.80,01/07,40.00,01/29,3.66
1103   嘉泥,"346,382,741","19,681,950","8,695",17.60,17.60,16.50,19.30,01/05,16.40,01/22,2.54
1104   環泥,"326,663,832","14,822,331","7,597",22.04,22.00,20.50,23.80,01/05,20.50,01/29,2.27
1108   幸福,"246,847,688","21,505,914","6,997",11.48,11.31,10.85,12.90,01/04,10.45,01/22,5.31
1109   信大,"173,394,670","9,035,063","3,902",19.19,19.11,18.40,20.05,01/04,18.00,01/22,2.64
1110   東泥,"48,437,063","2,739,757","1,296",17.68,17.80,17.20,18.45,01/15,16.20,01/29,0.48
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201   味全,"505,278,274","24,014,773","10,895",21.04,20.87,20.10,22.45,01/04,20.05,01/29,4.75
1203   味王,"56,041,453","1,575,571","1,365",35.57,35.77,35.40,37.35,01/04,34.00,01/20,0.66
1210   大成,"3,522,997,065","70,817,221","43,411",49.75,49.33,48.25,52.50,01/04,47.50,01/20,8.56
1213   大飲,"2,484,908","339,376",221,7.32,7.48,7.20,8.38,01/06,6.82,01/26,0.60
1215   卜蜂,"1,666,007,507","23,056,028","15,997",72.26,72.11,70.80,75.00,01/04,70.20,01/28,8.60
1216   統一,"16,509,416,264","246,989,051","105,789",66.84,66.88,68.00,68.90,01/29,64.20,01/20,4.35
1217   愛之味,"757,748,801","81,446,239","27,336",9.30,8.96,8.21,10.35,01/04,8.21,01/29,16.47
1218   泰山,"1,571,030,213","56,733,279","19,563",27.69,27.51,26.55,30.20,01/18,26.00,01/28,11.35
1219   福壽,"421,798,654","20,938,221","8,937",20.14,19.88,18.60,21.90,01/04,18.60,01/29,6.50
1220   台榮,"50,996,368","4,201,435","1,867",12.14,12.09,11.50,12.65,01/05,11.45,01/29,2.37
1225   福懋油,"92,039,210","2,558,445","2,154",35.97,35.38,32.50,38.45,01/14,32.50,01/29,1.17
1227   佳格,"4,279,245,959","74,260,098","56,317",57.63,58.04,56.50,61.50,01/04,53.60,01/25,8.12
1229   聯華,"1,960,822,414","47,526,166","34,823",41.26,41.31,40.45,42.90,01/05,40.00,01/29,3.71
1231   聯華食,"223,947,945","4,907,251","4,961",45.64,45.60,44.65,47.30,01/04,44.60,01/29,2.68
1232   大統益,"429,425,280","3,166,821","5,538",135.60,134.62,127.50,143.00,01/12,127.00,01/29,1.98
1233   天仁,"14,960,381","427,444",471,35.00,35.12,34.05,36.10,01/04,34.00,01/29,0.47
1234   黑松,"100,900,585","3,083,384","2,176",32.72,32.66,32.10,33.10,01/06,32.10,01/29,0.77
1235   興泰,"12,376,995","490,064",537,25.26,25.30,25.95,26.65,01/25,24.05,01/15,0.47
1236   宏亞,"9,829,578","706,180","1,681",13.92,13.84,13.20,14.35,01/11,13.20,01/29,0.65
1256   鮮活果汁-KY,"176,087,840","601,637","3,966",292.68,292.80,285.50,304.00,01/06,285.00,01/28,1.78
1702   南僑,"695,316,218","15,201,050","10,542",45.74,45.54,44.50,48.00,01/15,43.90,01/20,5.17
1737   臺鹽,"246,608,024","7,610,722","4,072",32.40,32.37,32.05,33.10,01/04,31.90,01/29,3.81
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301   台塑,"19,869,399,338","211,342,256","113,825",94.02,93.90,87.00,99.20,01/12,87.00,01/29,3.32
1303   南亞,"11,152,787,249","157,035,561","76,373",71.02,70.95,65.60,74.90,01/12,65.60,01/29,1.98
1304   台聚,"5,336,576,062","254,197,746","101,659",20.99,20.88,20.10,23.40,01/04,18.55,01/20,21.38
1305   華夏,"5,788,437,267","222,798,152","82,576",25.98,25.11,23.00,28.85,01/08,22.65,01/28,40.26
1307   三芳,"116,594,838","5,508,042","3,298",21.17,21.04,19.65,23.00,01/04,19.65,01/29,1.38
1308   亞聚,"1,582,679,248","76,123,753","33,666",20.79,20.23,18.85,22.35,01/11,18.50,01/28,13.08
1309   台達化,"7,716,748,353","227,701,239","101,167",33.89,32.71,29.70,39.70,01/04,28.85,01/21,66.15
1310   台苯,"971,502,527","55,971,783","24,176",17.36,17.10,16.20,18.95,01/04,16.05,01/22,10.60
1312   國喬,"5,377,144,957","234,127,006","72,534",22.97,22.59,20.90,24.85,01/05,20.75,01/21,25.82
1312A  國喬特,"4,939,100","159,000",98,31.06,31.28,31.45,31.60,01/22,30.65,01/07,0.80
1313   聯成,"2,834,575,551","163,159,149","56,094",17.37,16.87,14.85,19.35,01/07,14.80,01/29,12.25
1314   中石化,"11,134,359,559","1,042,459,292","200,009",10.68,10.28,9.26,12.10,01/05,9.24,01/29,31.74
1315   達新,"286,149,658","4,013,694","3,261",71.29,71.02,69.90,73.70,01/04,69.70,01/29,2.90
1321   大洋,"383,134,836","10,765,797","4,902",35.59,34.68,32.35,37.95,01/11,32.35,01/29,4.74
1323   永裕,"68,273,057","2,101,697","1,511",32.48,32.58,31.90,33.30,01/04,31.60,01/29,2.30
1324   地球,"13,017,081","1,258,362",585,10.34,10.23,9.85,10.70,01/05,9.85,01/29,1.68
1325   恆大,"14,515,005,462","161,108,051","101,685",90.09,87.62,84.20,99.90,01/21,78.30,01/11,188.91
1326   台化,"11,844,634,754","142,538,180","75,774",83.10,82.88,77.40,86.80,01/12,77.40,01/29,2.43
1337   再生-KY,"388,136,978","45,003,056","18,361",8.62,8.52,8.03,9.48,01/04,7.78,01/21,16.73
1340   勝悅-KY,"85,335,901","7,646,562","6,442",11.16,11.17,10.15,12.80,01/04,9.99,01/21,5.00
1341   富林-KY,"21,642,884","357,172",332,60.60,60.48,60.80,62.50,01/12,58.30,01/06,0.72
4306   炎洲,"681,385,860","44,662,611","15,227",15.26,15.03,14.05,16.70,01/04,14.00,01/29,7.83
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402   遠東新,"4,455,358,326","162,316,168","65,680",27.45,27.51,26.00,28.95,01/04,26.00,01/29,3.03
1409   新纖,"4,137,055,953","290,668,673","72,564",14.23,13.53,12.60,16.30,01/05,12.50,01/28,17.96
1410   南染,"7,709,182","228,133",297,33.79,33.83,33.50,34.45,01/12,32.85,01/28,0.36
1413   宏洲,"11,811,794","1,398,238",630,8.45,8.39,7.84,9.05,01/04,7.80,01/29,1.37
1414   東和,"396,746,347","31,413,954","12,186",12.63,12.53,12.35,14.35,01/04,11.20,01/20,14.28
1417   嘉裕,"201,486,787","17,894,232","6,111",11.26,10.94,10.55,12.00,01/04,10.40,01/21,9.42
1418   東華,"1,156,267","154,451",179,7.49,7.55,8.50,8.77,01/27,7.05,01/07,0.33
1419   新紡,"41,771,699","1,012,658","1,010",41.25,41.40,39.90,43.00,01/04,39.65,01/29,0.34
1423   利華,"100,883,230","5,891,104","2,625",17.12,17.18,16.10,17.90,01/06,15.70,01/29,4.26
1434   福懋,"2,168,584,412","72,329,307","38,109",29.98,29.99,29.10,31.20,01/04,28.90,01/22,4.29
1439   中和,"40,678,902","1,499,128","1,014",27.14,26.92,25.00,28.50,01/04,25.00,01/29,1.63
1440   南紡,"1,730,380,271","124,382,838","34,125",13.91,13.64,12.60,15.20,01/04,12.50,01/29,7.51
1441   大東,"44,012,097","5,542,975","3,086",7.94,7.89,7.14,8.75,01/04,7.02,01/28,5.50
1443   立益,"13,138,315","1,158,541",567,11.34,11.36,11.05,11.80,01/04,10.80,01/21,0.86
1444   力麗,"2,726,608,196","222,820,172","66,315",12.24,11.85,11.30,13.85,01/05,10.80,01/22,23.28
1445   大宇,"167,241,649","13,694,013","4,038",12.21,11.53,12.60,13.65,01/29,10.75,01/06,10.48
1446   宏和,"70,120,433","2,285,015","1,369",30.69,30.45,28.65,32.65,01/04,28.60,01/29,1.66
1447   力鵬,"2,687,786,939","286,331,510","70,610",9.39,8.47,7.64,10.65,01/05,7.57,01/28,31.31
1449   佳和,"193,229,271","7,919,224","5,386",24.40,24.35,21.85,29.85,01/04,21.10,01/20,9.66
1451   年興,"48,857,603","2,932,331","2,757",16.66,16.55,15.65,17.65,01/04,15.65,01/29,1.48
1452   宏益,"90,133,294","5,345,638","2,701",16.86,16.72,16.35,17.75,01/07,15.80,01/25,4.03
1453   大將,"15,400,505","1,819,556","1,069",8.46,8.51,8.15,9.07,01/18,8.00,01/27,1.81
1454   台富,"15,609,289","1,856,050","1,146",8.41,8.36,8.13,8.98,01/04,8.00,01/22,1.43
1455   集盛,"845,823,959","82,673,017","24,669",10.23,9.73,8.87,11.85,01/05,8.81,01/29,15.03
1456   怡華,"127,008,906","8,214,433","4,309",15.46,15.13,15.30,17.35,01/26,14.25,01/07,8.76
1457   宜進,"380,103,355","25,114,532","9,698",15.13,14.72,14.10,16.45,01/04,13.90,01/28,8.33
1459   聯發,"41,321,378","4,848,773","2,135",8.52,8.45,8.00,9.40,01/05,7.96,01/28,1.35
1460   宏遠,"202,509,321","21,846,024","8,733",9.27,9.17,8.48,10.10,01/04,8.44,01/29,4.28
1463   強盛,"72,330,785","5,564,881","2,557",13.00,12.80,12.50,14.00,01/04,12.00,01/25,3.21
1464   得力,"159,274,702","8,908,117","5,542",17.88,17.84,17.10,19.10,01/05,17.05,01/29,2.32
1465   偉全,"67,143,521","5,121,300","2,523",13.11,12.96,12.40,13.80,01/06,12.30,01/29,4.94
1466   聚隆,"733,404,109","40,422,783","19,178",18.14,17.73,16.45,19.60,01/04,16.40,01/29,36.37
1467   南緯,"811,652,571","42,458,765","15,016",19.12,18.77,17.65,20.45,01/12,17.55,01/29,25.24
1468   昶和,"19,160,862","1,432,346",969,13.38,13.34,12.60,15.10,01/18,12.00,01/29,0.89
1470   大統新創,"4,769,968","266,181",120,17.92,17.83,17.40,18.60,01/04,17.20,01/21,0.31
1472   三洋紡,"10,110,160","970,510",509,10.42,10.30,10.00,11.45,01/15,9.80,01/08,2.11
1473   台南,"80,463,353","4,502,000","3,951",17.87,17.86,17.00,19.15,01/04,16.95,01/29,3.06
1474   弘裕,"209,414,603","16,820,611","6,489",12.45,12.28,11.50,13.40,01/04,11.50,01/29,12.95
1475   業旺,"9,679,729","261,259",253,37.05,37.01,37.60,41.00,01/22,31.40,01/06,1.63
1476   儒鴻,"10,916,747,123","26,222,834","22,395",416.31,414.10,405.50,445.00,01/08,393.00,01/18,9.56
1477   聚陽,"7,296,880,397","37,537,521","29,296",194.39,193.72,188.00,203.00,01/21,183.50,01/06,15.52
4414   如興,"437,231,855","43,591,649","15,514",10.03,9.96,9.59,11.25,01/04,9.20,01/29,5.32
4426   利勤,"176,813,472","6,647,145","4,658",26.60,26.51,25.10,29.15,01/04,24.50,01/25,3.85
4438   廣越,"293,425,638","2,765,176","2,197",106.11,105.78,105.50,109.00,01/29,102.50,01/25,2.67
4439   冠星-KY,"60,877,248","412,295",380,147.65,146.70,140.00,155.50,01/12,138.50,01/20,1.31
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503   士電,"153,136,721","3,113,520","2,809",49.18,49.22,46.85,51.40,01/05,46.80,01/29,0.60
1504   東元,"2,094,842,691","74,396,619","36,014",28.16,28.22,26.80,29.50,01/13,26.80,01/29,3.78
1506   正道,"40,440,723","3,971,500","1,803",10.18,10.22,9.64,10.85,01/04,9.60,01/29,2.43
1507   永大,"99,984,782","1,667,312","1,748",59.97,60.42,56.20,63.60,01/04,56.10,01/29,0.41
1513   中興電,"16,831,093,804","348,265,774","166,832",48.33,47.58,47.90,52.90,01/04,44.50,01/18,73.14
1514   亞力,"790,672,186","30,857,360","16,643",25.62,25.22,23.55,27.50,01/12,23.50,01/29,14.19
1515   力山,"2,730,271,028","36,127,780","22,710",75.57,74.69,73.60,79.70,01/19,71.30,01/06,19.91
1517   利奇,"450,998,314","32,769,300","13,586",13.76,13.43,12.55,14.80,01/08,12.50,01/29,14.38
1519   華城,"1,972,469,649","43,030,861","27,698",45.84,45.68,42.85,49.65,01/04,42.30,01/20,16.48
1526   日馳,"668,478,474","15,230,320","9,791",43.89,43.24,40.05,48.00,01/08,39.95,01/29,25.38
1527   鑽全,"1,433,710,330","32,210,526","20,153",44.51,43.12,42.05,47.00,01/14,40.00,01/06,23.24
1528   恩德,"322,547,546","31,422,966","11,503",10.26,10.01,9.12,11.00,01/08,9.10,01/29,15.76
1529   樂士,"49,262,213","2,944,848","1,406",16.73,16.60,16.35,17.45,01/22,15.65,01/20,3.07
1530   亞崴,"77,900,633","2,301,388","1,870",33.85,32.55,31.40,36.50,01/04,31.30,01/28,2.38
1531   高林股,"94,974,634","7,424,022","3,656",12.79,12.14,11.35,13.55,01/06,11.20,01/28,4.04
1532   勤美,"342,366,698","10,958,480","5,629",31.24,31.17,29.80,32.70,01/06,29.80,01/29,2.91
1535   中宇,"39,839,821","1,170,411",824,34.04,33.76,32.85,35.30,01/05,32.85,01/29,0.95
1537   廣隆,"435,524,028","3,133,391","2,760",138.99,139.20,136.50,142.00,01/11,136.00,01/26,3.82
1538   正峰,"2,948,917","351,522",511,8.39,8.22,7.47,9.32,01/04,7.25,01/26,1.64
1539   巨庭,"32,064,850","1,728,245",898,18.55,18.53,18.05,19.70,01/05,17.50,01/25,2.64
1540   喬福,"49,446,553","3,207,662","1,678",15.42,15.38,15.05,15.80,01/04,14.95,01/29,3.75
1541   錩泰,"75,199,945","1,386,560","1,071",54.23,53.10,54.60,58.00,01/11,51.10,01/22,1.76
1558   伸興,"307,220,569","2,187,412","2,198",140.45,140.45,140.50,143.00,01/05,138.50,01/21,3.61
1560   中砂,"2,485,579,386","35,977,148","24,770",69.09,67.61,64.20,74.80,01/13,63.90,01/29,25.50
1583   程泰,"14,781,065","236,454",242,62.51,62.47,61.40,64.90,01/21,61.10,01/29,0.21
1589   永冠-KY,"1,589,190,458","19,784,120","13,562",80.33,80.04,77.80,85.50,01/06,74.40,01/20,17.89
1590   亞德客-KY,"22,719,168,912","21,056,262","19,149","1,078.97","1,075.35","1,000.00","1,215.00",01/27,891.00,01/04,11.14
1597   直得,"9,786,305,793","93,217,907","67,850",104.98,98.73,112.00,119.00,01/29,83.50,01/04,114.82
2049   上銀,"27,550,290,638","64,203,570","64,543",429.11,431.10,396.00,468.00,01/21,380.00,01/04,19.40
2241   艾姆勒,"740,359,043","12,198,026","9,142",60.69,59.70,56.50,65.50,01/12,55.40,01/04,14.39
2371   大同,"17,654,029,143","684,792,772","213,834",25.78,25.58,25.20,27.35,01/19,23.70,01/12,29.27
3167   大量,"116,491,363","2,582,710","1,632",45.10,44.69,44.05,47.05,01/08,43.20,01/22,3.22
4526   東台,"246,090,159","15,913,975","8,455",15.46,15.23,14.50,16.50,01/04,14.35,01/29,6.25
4532   瑞智,"576,966,783","27,478,587","12,999",21.00,20.63,19.75,22.60,01/11,19.55,01/25,5.44
4540   全球傳動,"2,920,953,111","48,082,713","32,203",60.75,58.23,59.20,66.50,01/27,53.20,01/20,51.06
4552   力達-KY,"138,412,680","3,911,401","2,803",35.39,35.16,34.05,36.60,01/26,33.90,01/29,3.37
4555   氣立,"38,019,195","770,135",616,49.37,49.22,48.70,51.30,01/06,47.80,01/20,1.15
4560   強信-KY,"169,004,035","4,079,926","2,037",41.42,41.54,39.40,44.90,01/04,39.20,01/28,5.99
4562   穎漢,"178,536,989","8,517,250","5,083",20.96,19.29,19.55,23.65,01/18,17.40,01/06,12.61
4564   元翎,"1,121,175,262","33,966,060","19,203",33.01,31.41,31.90,35.80,01/13,29.30,01/08,18.58
4566   時碩工業,"3,315,444,653","51,895,030","30,899",63.89,58.09,64.20,78.40,01/29,50.50,01/07,76.96
4571   鈞興-KY,"552,151,334","6,210,524","4,620",88.91,87.18,88.10,97.00,01/18,73.50,01/04,12.83
4572   駐龍,"50,814,971","645,577",611,78.71,78.36,77.50,82.20,01/04,76.60,01/28,1.80
4576   大銀微系統,"6,889,740,756","59,018,373","43,506",116.74,101.59,121.00,135.00,01/27,88.90,01/06,49.76
5288   豐祥-KY,"484,468,545","4,088,483","2,953",118.50,115.62,125.00,129.50,01/29,108.00,01/04,6.21
8222   寶一,"36,287,646","2,808,856","4,682",12.92,12.75,12.30,13.50,01/04,12.20,01/28,4.10
8374   羅昇,"100,532,507","3,969,362","2,342",25.33,25.15,24.90,26.70,01/06,24.05,01/20,4.45
