,民國110年02月,,,,,,,Feb-21,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101   台泥,"10,972,837,552","264,252,087","103,379",41.52,41.48,42,42.9,2月25日,40.3,2月1日,4.55
1101B  台泥乙特,"233,168,228","4,358,531",156,53.5,53.83,53.8,53.9,2月26日,53.3,2月18日,2.18
1102   亞泥,"3,920,469,547","93,456,268","42,338",41.95,41.75,42.65,43.35,2月25日,40.1,2月1日,2.78
1103   嘉泥,"177,021,909","10,228,881","4,499",17.31,17.19,17.6,18.1,2月25日,16.45,2月1日,1.32
1104   環泥,"142,754,572","6,674,044","3,431",21.39,21.27,21.8,22.05,2月25日,20.5,2月1日,1.02
1108   幸福,"380,860,858","30,923,972","8,619",12.32,11.62,13.2,13.2,2月26日,10.8,2月4日,7.64
1109   信大,"65,919,643","3,432,431","1,660",19.2,19.1,19.65,19.85,2月25日,18.05,2月1日,1
1110   東泥,"29,191,611","1,718,963",726,16.98,16.96,16.45,17.8,2月18日,16.25,2月26日,0.3
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201   味全,"291,001,944","14,261,072","6,319",20.41,20.39,20.85,21,2月25日,19.9,2月3日,2.82
1203   味王,"28,221,447","786,770",927,35.87,35.76,36.35,36.85,2月24日,34.7,2月4日,0.33
1210   大成,"1,597,565,605","32,352,365","20,273",49.38,49.25,50,50.7,2月22日,47.75,2月1日,3.91
1213   大飲,"1,116,781","149,388",120,7.48,7.41,8.08,8.13,2月24日,6.8,2月17日,0.26
1215   卜蜂,"579,871,389","8,024,792","6,680",72.26,72.25,72.5,73.3,2月23日,70.4,2月1日,2.99
1216   統一,"10,168,679,990","148,377,767","61,219",68.53,68.5,67.2,69.9,2月25日,66.6,2月2日,2.61
1217   愛之味,"246,714,981","28,747,482","10,401",8.58,8.53,8.85,8.89,2月24日,8.12,2月1日,5.81
1218   泰山,"869,785,309","32,481,118","6,405",26.78,27.8,28.4,29.35,2月24日,26.2,2月1日,6.5
1219   福壽,"137,641,754","7,053,535","3,351",19.51,19.35,19.7,20.55,2月24日,18.3,2月1日,2.19
1220   台榮,"23,708,822","1,971,781",951,12.02,12.03,12.3,12.5,2月22日,11.4,2月1日,1.11
1225   福懋油,"41,105,331","1,173,951",989,35.01,34.68,36.8,36.85,2月26日,32,2月4日,0.54
1227   佳格,"6,152,724,392","110,190,883","50,437",55.84,56.52,55,58,2月3日,54.5,2月26日,12.04
1229   聯華,"1,033,762,367","24,839,035","18,050",41.62,41.49,42.2,42.55,2月24日,40,2月1日,1.94
1231   聯華食,"88,691,911","1,942,205","2,322",45.67,45.62,45.85,46.35,2月24日,44.5,2月1日,1.06
1232   大統益,"137,806,000","1,041,915","2,026",132.26,132.27,132,135,2月17日,127.5,2月1日,0.65
1233   天仁,"8,823,524","256,105",314,34.45,34.48,34.75,35.3,2月25日,34,2月17日,0.28
1234   黑松,"66,453,684","2,029,954","1,667",32.74,32.64,32.95,33.1,2月25日,32.1,2月4日,0.51
1235   興泰,"6,954,805","266,162",312,26.13,26.17,26.4,26.75,2月23日,25.5,2月1日,0.25
1236   宏亞,"17,734,942","1,329,761",943,13.34,13.54,13.8,14.1,2月24日,13,2月1日,1.23
1256   鮮活果汁-KY,"263,448,771","790,905","2,630",333.1,329.19,365,377,2月25日,285.5,2月1日,2.34
1702   南僑,"324,397,667","7,088,407","4,967",45.76,45.64,46.15,46.85,2月24日,44.05,2月1日,2.41
1737   臺鹽,"166,319,205","5,151,588","3,155",32.29,32.22,32.4,33.1,2月25日,31.7,2月5日,2.58
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301   台塑,"17,203,887,515","179,447,459","87,813",95.87,94.67,97.5,101,2月25日,86.6,2月2日,2.82
1303   南亞,"8,818,231,133","123,582,022","52,782",71.36,70.73,72.7,75,2月25日,66,2月2日,1.56
1304   台聚,"2,510,912,189","116,495,307","48,501",21.55,21.48,22.15,22.75,2月24日,19.6,2月1日,9.8
1305   華夏,"5,798,494,918","207,806,495","77,235",27.9,26.14,29.55,31.3,2月24日,22.45,2月1日,37.55
1307   三芳,"66,260,102","3,218,462","1,821",20.59,20.54,20.95,21.4,2月24日,19.35,2月1日,0.81
1308   亞聚,"911,743,248","42,709,937","20,621",21.35,21.13,22.55,22.9,2月25日,18.95,2月1日,7.34
1309   台達化,"4,137,582,412","122,422,893","53,644",33.8,33.07,34.85,35.9,2月24日,29,2月1日,35.56
1310   台苯,"827,490,682","46,312,171","19,290",17.87,17.29,18.25,18.75,2月19日,16,2月1日,8.77
1312   國喬,"3,093,376,743","132,591,654","41,775",23.33,23.05,23.85,24.75,2月24日,20.4,2月1日,14.62
1312A  國喬特,"1,174,250","37,000",24,31.74,31.77,32,32,2月24日,31,2月1日,0.18
1313   聯成,"2,143,731,997","125,521,497","38,613",17.08,16.69,18.45,19,2月23日,14.25,2月1日,9.42
1314   中石化,"6,616,413,582","636,111,157","114,175",10.4,10.17,10.75,11.1,2月24日,9,2月1日,19.36
1315   達新,"287,650,769","3,964,594","3,027",72.55,71.65,73.3,75.4,2月23日,68.6,2月1日,2.86
1321   大洋,"103,213,288","3,066,765","1,430",33.66,33.47,33.9,34.85,2月24日,32.2,2月1日,1.35
1323   永裕,"41,955,290","1,286,774",875,32.61,32.56,33.15,33.2,2月25日,31.8,2月17日,1.41
1324   地球,"5,635,327","557,539",389,10.11,10.06,10.1,10.35,2月23日,9.8,2月2日,0.74
1325   恆大,"3,955,382,932","48,209,044","33,151",82.05,81.21,82.5,89.3,2月1日,75.3,2月17日,56.53
1326   台化,"9,089,117,419","107,673,305","51,888",84.41,82.91,86,89,2月25日,77.3,2月1日,1.84
1337   再生-KY,"238,694,926","27,420,366","10,995",8.71,8.62,8.95,9.23,2月24日,7.83,2月1日,10.2
1340   勝悅-KY,"42,232,293","4,059,982","3,399",10.4,10.41,10.85,11.2,2月24日,9.9,2月2日,2.65
1341   富林-KY,"19,974,639","322,954",309,61.85,61.72,62.1,63,2月23日,60.1,2月17日,0.65
4306   炎洲,"319,301,226","21,404,020","7,426",14.92,14.82,15.4,15.75,2月25日,13.9,2月1日,3.75
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402   遠東新,"4,423,409,870","158,291,464","57,918",27.94,27.49,28.95,29.5,2月25日,26.1,2月1日,2.96
1409   新纖,"1,782,273,115","128,231,748","30,212",13.9,13.56,14.55,14.65,2月26日,12.45,2月1日,7.92
1410   南染,"6,528,124","192,233",214,33.96,33.92,34,34.6,2月25日,33.4,2月1日,0.31
1413   宏洲,"6,296,978","776,965",388,8.1,8.1,8.15,8.31,2月25日,7.72,2月1日,0.76
1414   東和,"174,895,490","13,404,038","5,600",13.05,13.07,13.05,13.6,2月24日,12.2,2月1日,6.09
1417   嘉裕,"86,461,281","7,879,676","3,019",10.97,10.88,11.3,11.3,2月26日,10.4,2月1日,4.15
1418   東華,"1,202,785","164,328",245,7.32,7.53,7.19,8.79,2月1日,7.01,2月17日,0.35
1419   新紡,"29,018,012","711,877",689,40.76,40.66,40.55,41.65,2月24日,40,2月2日,0.24
1423   利華,"56,988,105","3,265,582","1,672",17.45,17.32,18.5,18.7,2月25日,15.15,2月1日,2.36
1434   福懋,"906,799,549","30,261,763","16,873",29.97,29.89,30.35,30.8,2月24日,28.95,2月1日,1.8
1439   中和,"20,660,677","797,221",664,25.92,25.92,26.2,27.1,2月24日,24.5,2月1日,0.87
1440   南紡,"923,796,138","65,353,764","17,067",14.14,13.85,14.95,15,2月26日,12.45,2月1日,3.94
1441   大東,"12,286,334","1,617,823","1,259",7.59,7.56,7.84,8.08,2月23日,6.97,2月1日,1.6
1443   立益,"6,705,014","594,182",370,11.28,11.37,11.65,11.7,2月23日,10.75,2月3日,0.44
1444   力麗,"1,027,571,426","86,186,520","25,357",11.92,11.88,12,12.45,2月25日,11.05,2月1日,9
1445   大宇,"86,518,914","6,658,013","2,279",12.99,12.94,13.1,14.2,2月23日,11.8,2月2日,5.1
1446   宏和,"37,314,747","1,251,150",822,29.82,29.36,30.5,31.35,2月23日,28.5,2月5日,0.91
1447   力鵬,"698,937,931","80,094,173","23,547",8.73,8.42,9.23,9.44,2月26日,7.52,2月1日,8.76
1449   佳和,"59,181,158","2,669,774","2,435",22.17,22.05,22.2,23.55,2月23日,20.65,2月17日,3.26
1451   年興,"30,573,737","1,896,964","2,115",16.12,16.07,16.25,16.4,2月24日,15.5,2月1日,0.96
1452   宏益,"61,407,102","3,564,073","1,990",17.23,17.24,17.55,17.65,2月26日,16.5,2月1日,2.69
1453   大將,"9,070,223","1,088,564",647,8.33,8.3,8.34,8.54,2月23日,8.1,2月4日,1.08
1454   台富,"7,553,147","909,238",550,8.31,8.31,8.43,8.55,2月25日,8.12,2月4日,0.7
1455   集盛,"352,622,408","34,798,043","10,361",10.13,9.87,10.75,10.95,2月23日,8.68,2月1日,6.54
1456   怡華,"73,345,481","4,476,317","2,467",16.39,16.07,16.6,17.65,2月22日,14.95,2月4日,4.78
1457   宜進,"141,717,540","9,440,429","3,940",15.01,14.85,15.45,15.7,2月25日,13.95,2月1日,3.13
1459   聯發,"21,097,770","2,539,660","1,113",8.31,8.23,8.24,8.75,2月23日,7.9,2月2日,0.71
1460   宏遠,"97,026,103","12,107,802","4,941",8.01,8.19,8.11,8.5,2月1日,7.59,2月17日,2.37
1463   強盛,"27,439,387","2,203,998","1,173",12.45,12.41,12.7,12.9,2月25日,12.1,2月17日,1.27
1464   得力,"109,339,056","6,105,222","3,949",17.91,17.72,18.55,18.8,2月25日,16.9,2月2日,1.59
1465   偉全,"16,200,194","1,279,406","1,691",12.66,12.61,12.95,13.1,2月26日,12.3,2月5日,1.23
1466   聚隆,"309,292,821","19,479,030","6,514",15.88,15.98,15.95,16.95,2月22日,14.65,2月17日,17.52
1467   南緯,"567,562,275","30,888,990","9,452",18.37,18.34,18.4,19.8,2月26日,16.65,2月1日,18.36
1468   昶和,"9,820,236","718,261",534,13.67,13.97,13.9,14.7,2月4日,12.35,2月2日,0.45
1470   大統新創,"5,516,384","308,734",90,17.87,17.85,18.1,18.5,2月23日,17.35,2月5日,0.36
1472   三洋紡,"5,569,122","532,078",389,10.47,10.28,11,11.5,2月24日,9.79,2月4日,1.16
1473   台南,"41,846,802","2,417,590","2,278",17.31,17.29,17.5,18,2月25日,16.85,2月17日,1.64
1474   弘裕,"54,293,685","4,553,416","2,357",11.92,11.87,12.25,12.4,2月24日,11.35,2月1日,3.51
1475   業旺,"2,520,964","69,418",90,36.32,36.02,37.15,39.3,2月2日,32.25,2月18日,0.43
1476   儒鴻,"4,939,166,805","11,535,717","9,931",428.16,423.88,429.5,454.5,2月24日,400,2月1日,4.2
1477   聚陽,"4,405,445,657","21,612,239","16,939",203.84,200.77,203.5,217.5,2月25日,183.5,2月1日,8.94
4414   如興,"184,668,445","18,733,627","6,414",9.86,9.88,9.93,10.35,2月25日,9.24,2月1日,2.29
4426   利勤,"104,982,692","3,950,754","2,971",26.57,26.17,26.85,28.6,2月24日,25.05,2月2日,2.29
4438   廣越,"194,530,701","1,774,126","1,489",109.65,107.92,113.5,115.5,2月25日,103.5,2月4日,1.72
4439   冠星-KY,"66,269,971","436,888",395,151.69,149.54,151.5,161,2月24日,139,2月4日,1.39
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503   士電,"83,267,544","1,704,972","1,651",48.84,48.69,48.7,50.1,2月23日,46.7,2月2日,0.33
1504   東元,"2,310,776,665","79,345,749","42,888",29.12,29.13,30.35,31,2月25日,26.9,2月1日,3.71
1506   正道,"29,695,696","3,053,501","1,454",9.73,9.76,9.95,10.25,2月24日,9.27,2月5日,1.87
1507   永大,"65,059,168","1,100,160","1,139",59.14,58.92,58.8,61.8,2月24日,56.3,2月1日,0.27
1513   中興電,"9,119,907,237","186,569,655","90,033",48.88,49.19,50.1,52.2,2月24日,45.55,2月1日,39.18
1514   亞力,"244,291,376","10,105,906","6,423",24.17,24.18,24.4,24.95,2月23日,22.9,2月1日,4.65
1515   力山,"5,242,128,902","63,577,441","39,382",82.45,81.32,81.2,89,2月19日,74.2,2月1日,35.03
1517   利奇,"439,166,533","31,297,892","10,155",14.03,13.49,14.2,14.65,2月25日,12.3,2月1日,13.74
1519   華城,"940,147,788","21,883,499","13,930",42.96,43.53,43.85,45.8,2月23日,40.75,2月1日,8.38
1526   日馳,"251,490,761","5,860,840","4,282",42.91,42.54,43.2,46.55,2月22日,39.3,2月1日,9.77
1527   鑽全,"570,694,336","12,679,446","8,572",45.01,43.86,46.1,47.3,2月23日,41.15,2月1日,9.15
1528   恩德,"96,787,671","9,765,250","4,015",9.91,9.55,10.1,10.45,2月25日,8.94,2月1日,4.9
1529   樂士,"16,384,422","1,009,115",535,16.24,16.24,15.9,16.85,2月18日,15.85,2月26日,1.05
1530   亞崴,"22,897,319","700,854",624,32.67,32.45,33.65,33.95,2月25日,31.2,2月1日,0.73
1531   高林股,"33,845,002","2,681,536","1,839",12.62,12.35,13.3,13.5,2月26日,11.15,2月1日,1.46
1532   勤美,"210,630,837","6,736,630","3,045",31.27,31.23,32.05,32.45,2月24日,29.7,2月1日,1.79
1535   中宇,"88,665,671","2,489,170","1,637",35.62,34.17,35.8,37.95,2月25日,32.65,2月3日,2.01
1537   廣隆,"285,208,179","2,026,998","1,737",140.7,140.19,142.5,144.5,2月25日,136.5,2月4日,2.47
1538   正峰,"882,805","115,806",472,7.62,7.69,7.65,8.1,2月18日,7.31,2月4日,0.54
1539   巨庭,"11,394,646","613,125",360,18.58,18.59,19,19.45,2月25日,17.7,2月1日,0.94
1540   喬福,"20,908,966","1,381,895",978,15.13,15.11,15.4,15.45,2月25日,14.7,2月4日,1.62
1541   錩泰,"32,094,981","595,668",484,53.88,53.75,52.8,56.1,2月1日,52,2月19日,0.76
1558   伸興,"473,736,166","3,187,933","3,357",148.6,146.12,150,154.5,2月22日,139,2月3日,5.27
1560   中砂,"586,319,934","8,667,488","6,061",67.65,66.75,69,70.8,2月24日,62.8,2月1日,6.14
1583   程泰,"14,336,384","225,249",175,63.65,63.1,63.7,65.7,2月26日,62,2月1日,0.2
1589   永冠-KY,"804,622,016","9,956,954","6,662",80.81,80.23,82.4,84.7,2月24日,75.4,2月1日,9
1590   亞德客-KY,"13,015,914,135","12,705,666","12,590","1,024.42","1,025.54",970,"1,095.00",2月17日,970,2月26日,6.72
1597   直得,"4,290,716,951","38,599,578","29,832",111.16,107.51,110,126,2月23日,98.1,2月4日,47.54
2049   上銀,"13,723,054,154","33,672,070","32,108",407.55,406.08,399,437,2月17日,383,2月1日,10.18
2241   艾姆勒,"223,671,290","3,806,977","2,874",58.75,58.39,59.2,62.5,2月23日,55.5,2月1日,4.49
2371   大同,"12,127,833,348","452,494,805","135,602",26.8,26.37,27.95,28.35,2月26日,24.75,2月1日,19.34
3167   大量,"142,674,815","2,954,071","1,965",48.3,47.34,49.9,51.4,2月22日,43.5,2月1日,3.69
4526   東台,"74,160,416","5,006,246","3,172",14.81,14.7,15.1,15.5,2月24日,14.15,2月1日,1.96
4532   瑞智,"182,110,994","8,929,785","3,776",20.39,20.28,20.75,21.15,2月25日,19.5,2月1日,1.77
4540   全球傳動,"741,931,590","12,657,212","9,298",58.62,57.86,59.8,64.7,2月23日,54.5,2月4日,13.44
4552   力達-KY,"70,672,099","2,063,772","1,449",34.24,34.22,34.5,35.35,2月24日,33.35,2月4日,1.78
4555   氣立,"205,912,118","3,786,576","2,556",54.38,52.15,53.9,58,2月23日,48.2,2月3日,5.66
4560   強信-KY,"119,109,747","2,882,873","1,112",41.32,41.5,42.25,43.1,2月24日,39.1,2月1日,4.24
4562   穎漢,"67,540,405","3,240,018","2,144",20.85,20.03,21.4,23.85,2月24日,18.5,2月4日,4.8
4564   元翎,"1,857,525,294","48,553,956","23,131",38.26,35.12,38.2,41.8,2月23日,31,2月1日,26.56
4566   時碩工業,"2,141,505,984","32,688,074","20,405",65.51,63.59,65.6,72.5,2月22日,55.2,2月5日,48.48
4571   鈞興-KY,"873,293,041","7,277,556","4,277",120,106.25,149,149,2月26日,88.1,2月1日,15.04
4572   駐龍,"64,390,096","766,564",672,84,81.66,86.4,88.1,2月23日,77.3,2月1日,2.14
4576   大銀微系統,"4,206,982,722","27,829,637","23,651",151.17,147.58,155.5,178,2月22日,116,2月1日,23.46
5288   豐祥-KY,"382,231,495","2,978,417","2,299",128.33,127.46,132.5,136,2月25日,122.5,2月1日,4.52
8222   寶一,"27,060,652","2,076,678","2,266",13.03,12.71,13.55,13.75,2月26日,12.15,2月2日,3.03
