,民國110年03月,,,,,,,March 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1101   台泥,"25,967,080,432","585,469,796","225,080",44.35,43.93,46.80,46.90,03/22,42.05,03/05,10.08
1101B  台泥乙特,"89,546,936","1,674,215",251,53.49,53.61,53.80,53.90,03/29,53.00,03/24,0.84
1102   亞泥,"7,928,263,755","176,131,840","71,721",45.01,44.68,47.80,47.80,03/31,42.50,03/02,5.24
1103   嘉泥,"828,090,972","42,971,629","15,009",19.27,18.38,20.85,20.90,03/31,17.50,03/04,5.55
1104   環泥,"444,910,313","20,028,659","8,193",22.21,22.07,22.90,23.00,03/31,21.60,03/02,3.06
1108   幸福,"873,544,958","68,254,792","20,275",12.80,12.54,12.75,13.50,03/04,12.10,03/18,16.86
1109   信大,"418,725,993","19,726,196","7,401",21.23,20.59,23.05,23.80,03/31,19.55,03/12,5.77
1110   東泥,"25,638,427","1,585,600","1,101",16.17,16.19,16.20,16.65,03/02,15.90,03/04,0.28
02 食品工業類,,,,,,,,,,,
Foods,,,,,,,,,,,
1201   味全,"628,594,032","29,416,915","13,349",21.37,21.30,21.55,22.10,03/29,20.65,03/04,5.81
1203   味王,"93,686,222","2,503,088","2,555",37.43,37.52,38.20,38.80,03/19,35.85,03/26,1.04
1210   大成,"3,853,775,596","73,226,832","47,055",52.63,52.60,54.60,55.50,03/31,49.70,03/03,8.85
1213   大飲,"6,328,872","731,909",371,8.65,7.83,9.68,9.68,03/31,7.32,03/24,1.29
1215   卜蜂,"1,539,777,873","20,559,313","17,268",74.89,74.89,76.60,76.80,03/23,72.50,03/02,7.67
1216   統一,"16,071,415,402","230,142,259","88,125",69.83,69.77,73.00,73.00,03/31,67.60,03/05,4.05
1217   愛之味,"713,376,986","79,209,591","25,901",9.01,9.00,9.04,9.35,03/23,8.70,03/03,16.02
1218   泰山,"819,370,011","27,784,634","14,931",29.49,29.11,30.00,31.40,03/29,28.20,03/05,5.56
1219   福壽,"523,961,427","25,174,635","10,860",20.81,20.53,21.95,22.10,03/31,19.60,03/03,7.82
1220   台榮,"181,374,442","13,506,856","4,524",13.43,12.82,13.95,14.00,03/31,12.25,03/03,7.63
1225   福懋油,"477,944,250","10,216,482","7,506",46.78,42.03,54.00,55.00,03/30,36.60,03/05,4.67
1227   佳格,"6,206,565,584","108,387,533","68,742",57.26,57.43,58.60,58.80,03/09,55.30,03/02,11.84
1229   聯華,"3,051,198,117","68,286,553","45,889",44.68,44.33,47.35,47.80,03/31,42.20,03/02,5.33
1231   聯華食,"620,190,752","11,759,071","10,691",52.74,50.45,59.10,60.40,03/31,45.80,03/04,6.41
1232   大統益,"395,890,117","2,858,688","5,179",138.49,137.89,142.00,145.00,03/31,132.00,03/03,1.79
1233   天仁,"14,424,880","411,988",502,35.01,35.05,35.15,35.75,03/12,34.50,03/08,0.45
1234   黑松,"252,854,066","7,563,061","4,492",33.43,33.32,34.60,34.65,03/31,32.40,03/02,1.88
1235   興泰,"11,065,821","400,172",459,27.65,27.61,29.15,29.50,03/31,26.15,03/04,0.38
1236   宏亞,"7,275,357","522,500","1,935",13.92,13.89,13.90,14.30,03/08,13.65,03/04,0.48
1256   鮮活果汁-KY,"923,084,066","2,143,001","8,179",430.74,422.70,442.50,483.00,03/17,361.50,03/03,6.33
1702   南僑,"852,978,787","18,055,643","14,812",47.24,47.04,47.55,48.50,03/11,46.00,03/05,6.14
1737   臺鹽,"421,414,184","12,597,532","8,049",33.45,32.98,33.95,34.90,03/30,32.40,03/02,6.30
03 塑膠工業類,,,,,,,,,,,
Plastics,,,,,,,,,,,
1301   台塑,"25,619,362,560","253,067,865","118,080",101.24,101.17,101.00,107.50,03/11,96.10,03/22,3.98
1303   南亞,"19,590,926,855","257,229,503","114,438",76.16,76.00,79.80,79.80,03/31,72.30,03/05,3.24
1304   台聚,"7,626,931,668","318,321,648","127,911",23.96,23.90,25.50,25.85,03/16,21.60,03/02,26.78
1305   華夏,"18,453,601,866","562,007,921","214,232",32.84,33.20,37.30,37.30,03/31,28.10,03/02,101.56
1307   三芳,"118,365,305","5,517,568","3,128",21.45,21.43,21.55,22.20,03/08,20.90,03/22,1.39
1308   亞聚,"4,425,207,848","185,787,480","78,453",23.82,23.58,24.60,25.20,03/09,21.90,03/02,31.92
1309   台達化,"24,474,154,929","599,533,841","255,155",40.82,40.96,43.15,44.80,03/15,33.80,03/02,174.17
1310   台苯,"2,045,923,906","109,144,841","38,214",18.75,18.59,19.30,19.75,03/30,17.75,03/02,20.68
1312   國喬,"10,172,075,109","397,438,472","129,885",25.59,25.26,27.50,27.90,03/31,23.35,03/02,43.84
1312A  國喬特,"8,933,050","268,000",127,33.33,33.06,34.30,34.30,03/31,31.70,03/04,1.34
1313   聯成,"5,809,769,526","303,630,051","96,654",19.13,18.88,20.60,20.90,03/29,17.75,03/03,22.79
1314   中石化,"11,665,515,095","1,055,162,813","198,488",11.06,10.92,10.95,11.60,03/04,10.55,03/22,32.12
1315   達新,"1,047,774,047","13,679,648","9,858",76.59,76.15,75.10,82.50,03/18,73.20,03/24,9.87
1321   大洋,"212,542,228","5,958,726","3,089",35.67,35.24,35.80,37.40,03/25,33.70,03/02,2.62
1323   永裕,"152,360,877","4,471,547","2,704",34.07,34.26,34.40,34.85,03/23,32.95,03/02,4.90
1324   地球,"15,150,129","1,473,764","1,072",10.28,10.24,10.60,10.60,03/31,10.00,03/04,1.96
1325   恆大,"8,349,945,011","92,323,433","60,720",90.44,88.81,95.20,101.50,03/31,80.70,03/03,108.26
1326   台化,"13,867,396,130","158,527,609","81,855",87.48,87.34,87.60,90.80,03/08,83.70,03/22,2.70
1337   再生-KY,"714,460,904","81,310,243","26,920",8.79,8.64,7.83,9.44,03/04,7.58,03/24,30.23
1340   勝悅-KY,"71,332,068","6,656,740","6,034",10.72,10.68,10.25,11.15,03/16,10.20,03/31,4.35
1341   富林-KY,"40,204,484","622,767",780,64.56,64.85,69.00,69.20,03/31,61.10,03/10,1.26
4306   炎洲,"1,068,948,179","68,982,828","21,907",15.50,15.55,15.75,16.30,03/04,14.95,03/08,12.10
04 紡織纖維類,,,,,,,,,,,
Textiles,,,,,,,,,,,
1402   遠東新,"7,061,128,123","240,552,014","73,125",29.35,29.50,30.20,30.30,03/30,28.60,03/02,4.49
1409   新纖,"7,904,139,867","494,037,214","116,419",16.00,15.12,17.50,18.00,03/29,14.30,03/22,30.53
1410   南染,"7,476,708","220,925",341,33.84,33.84,33.90,34.55,03/29,33.50,03/22,0.35
1413   宏洲,"15,842,416","1,864,613",915,8.50,8.38,8.62,9.02,03/16,8.03,03/05,1.83
1414   東和,"899,847,403","63,787,091","21,753",14.11,12.93,14.10,15.55,03/30,11.95,03/22,28.99
1417   嘉裕,"537,466,861","45,313,310","13,412",11.86,11.57,11.90,12.55,03/24,11.00,03/05,23.86
1418   東華,"602,706","84,978",395,7.09,7.12,7.08,7.51,03/15,6.80,03/29,0.18
1419   新紡,"37,265,578","917,002","1,028",40.64,40.60,40.60,41.40,03/29,40.00,03/23,0.31
1423   利華,"214,932,674","10,141,961","4,797",21.19,20.54,22.15,23.95,03/26,18.20,03/05,7.33
1434   福懋,"2,167,725,689","70,778,651","31,759",30.63,30.63,30.80,31.00,03/19,30.10,03/19,4.20
1439   中和,"31,313,063","1,207,667",941,25.93,25.92,25.45,26.85,03/03,25.05,03/24,1.31
1440   南紡,"11,766,192,276","655,152,082","151,894",17.96,15.97,19.25,20.70,03/29,14.45,03/05,39.54
1441   大東,"38,683,057","4,692,760","3,207",8.24,7.91,8.11,8.77,03/29,7.63,03/08,4.66
1443   立益,"7,913,287","711,643",500,11.12,11.18,11.00,11.60,03/05,10.80,03/31,0.53
1444   力麗,"2,060,875,523","171,071,716","48,953",12.05,11.92,11.85,12.60,03/26,11.60,03/05,17.87
1445   大宇,"46,539,084","3,560,149","1,450",13.07,13.08,13.20,13.40,03/29,12.75,03/03,2.72
1446   宏和,"63,486,406","2,102,738","1,237",30.19,30.22,29.15,31.20,03/04,29.00,03/31,1.53
1447   力鵬,"2,700,626,498","276,784,480","72,885",9.76,9.57,9.48,10.55,03/26,8.87,03/03,30.27
1449   佳和,"97,532,873","4,394,182","4,348",22.20,22.07,21.35,24.35,03/11,21.20,03/05,5.36
1451   年興,"189,106,988","11,362,913","5,707",16.64,16.61,17.20,17.85,03/26,16.15,03/22,5.74
1452   宏益,"218,332,446","12,132,577","6,678",18.00,17.70,18.40,19.15,03/26,17.25,03/04,9.15
1453   大將,"13,138,492","1,554,392","1,504",8.45,8.45,8.50,8.64,03/19,8.28,03/05,1.54
1454   台富,"36,338,268","4,147,376","1,706",8.76,8.58,8.84,9.20,03/29,8.30,03/05,3.19
1455   集盛,"2,257,699,614","191,489,703","44,192",11.79,11.46,11.80,12.90,03/26,10.25,03/10,36.02
1456   怡華,"345,661,166","18,193,802","9,344",19.00,18.38,17.90,20.55,03/04,16.60,03/02,19.41
1457   宜進,"881,637,158","52,605,998","19,722",16.76,16.42,17.25,17.95,03/30,15.50,03/03,17.44
1459   聯發,"53,777,029","6,237,256","2,740",8.62,8.46,9.00,9.50,03/29,8.10,03/03,1.74
1460   宏遠,"161,931,878","19,617,023","8,006",8.25,8.13,8.18,8.78,03/26,7.90,03/03,3.85
1463   強盛,"60,851,180","4,761,847","2,683",12.78,12.76,12.90,13.30,03/25,12.35,03/22,2.75
1464   得力,"215,466,140","12,062,893","7,974",17.86,17.91,17.45,18.70,03/11,17.20,03/24,3.14
1465   偉全,"23,253,695","1,805,146","2,471",12.88,12.87,12.90,13.10,03/31,12.65,03/22,1.74
1466   聚隆,"543,726,953","32,617,046","9,676",16.67,16.21,16.35,17.30,03/02,15.55,03/24,29.34
1467   南緯,"1,713,218,309","89,133,797","23,880",19.22,18.82,19.70,20.80,03/29,17.65,03/09,52.99
1468   昶和,"24,830,382","1,719,420","1,195",14.44,14.62,14.20,16.10,03/03,13.40,03/02,1.07
1470   大統新創,"6,046,837","335,344",88,18.03,18.09,18.20,18.60,03/02,17.80,03/19,0.39
1472   三洋紡,"16,810,305","1,714,717",841,9.80,10.11,9.39,11.05,03/03,9.00,03/31,3.72
1473   台南,"62,477,759","3,475,858","3,061",17.97,17.94,18.25,18.40,03/17,17.25,03/08,2.36
1474   弘裕,"232,355,998","18,325,389","6,851",12.68,12.57,12.70,13.05,03/18,12.20,03/22,14.11
1475   業旺,"10,997,236","282,475",261,38.93,38.87,38.20,40.80,03/15,37.05,03/23,1.76
1476   儒鴻,"13,236,176,247","28,551,031","26,539",463.60,461.55,480.00,499.00,03/11,412.00,03/03,10.41
1477   聚陽,"12,271,894,662","54,290,866","42,930",226.04,222.91,246.50,251.00,03/29,196.50,03/03,22.45
4414   如興,"516,316,543","51,214,357","15,783",10.08,9.89,10.45,10.45,03/31,9.58,03/10,6.25
4426   利勤,"142,956,171","5,418,215","4,084",26.38,26.42,25.75,27.40,03/16,25.65,03/31,3.14
4438   廣越,"314,384,766","2,650,263","2,390",118.62,118.86,120.00,123.00,03/04,113.50,03/03,2.56
4439   冠星-KY,"135,644,341","857,328",692,158.22,157.59,155.00,164.50,03/18,152.50,03/02,2.72
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503   士電,"144,186,011","2,947,035","3,174",48.93,48.93,49.20,50.50,03/03,48.00,03/24,0.57
1504   東元,"4,338,525,569","137,914,233","67,459",31.46,31.20,32.35,33.65,03/24,29.90,03/10,6.45
1506   正道,"35,978,209","3,662,469","2,307",9.82,9.88,9.75,10.05,03/03,9.69,03/12,2.24
1507   永大,"129,865,340","2,197,794","2,523",59.09,58.94,60.00,60.60,03/03,57.90,03/22,0.53
1513   中興電,"18,803,304,942","350,429,577","186,029",53.66,53.12,52.80,56.50,03/15,50.20,03/02,73.60
1514   亞力,"619,542,845","24,441,265","14,046",25.35,25.26,25.85,26.60,03/29,24.05,03/03,11.24
1515   力山,"10,145,304,648","111,143,982","74,640",91.28,90.17,94.30,97.60,03/16,80.40,03/05,61.25
1517   利奇,"3,891,509,772","228,006,761","82,094",17.07,15.56,20.25,20.95,03/31,14.05,03/02,100.08
1519   華城,"1,447,968,947","31,875,663","21,034",45.43,45.09,45.20,47.45,03/08,43.05,03/26,12.21
1526   日馳,"539,410,102","11,702,351","8,583",46.09,44.28,48.20,49.80,03/30,41.15,03/09,19.50
1527   鑽全,"1,352,850,105","28,803,573","19,913",46.97,46.68,47.00,48.50,03/23,45.05,03/08,20.79
1528   恩德,"171,826,631","16,803,376","7,454",10.23,10.08,10.00,10.95,03/22,9.88,03/09,8.43
1529   樂士,"55,483,951","3,520,780","1,696",15.76,15.75,16.05,16.80,03/29,14.85,03/26,3.67
1530   亞崴,"70,946,000","2,033,343","1,581",34.89,34.52,36.50,36.50,03/31,33.10,03/12,2.11
1531   高林股,"157,796,172","10,745,482","5,099",14.68,14.37,15.65,16.15,03/29,13.15,03/10,5.85
1532   勤美,"429,600,104","13,481,102","6,625",31.87,31.79,32.40,32.75,03/31,31.15,03/22,3.58
1535   中宇,"423,285,506","10,895,316","7,376",38.85,38.18,40.00,41.00,03/30,34.70,03/02,8.80
1537   廣隆,"561,388,300","3,845,872","3,444",145.97,145.30,148.00,150.00,03/29,142.00,03/09,4.69
1538   正峰,"4,638,374","583,855","1,796",7.94,7.87,8.54,8.79,03/22,7.30,03/08,2.73
1539   巨庭,"102,371,873","5,023,921","2,670",20.38,19.30,21.80,21.90,03/31,18.10,03/09,7.69
1540   喬福,"71,819,803","4,605,880","3,267",15.59,15.53,15.90,16.10,03/29,15.15,03/19,5.39
1541   錩泰,"194,083,108","3,413,974","2,340",56.85,55.43,55.80,61.00,03/24,52.60,03/02,4.33
1558   伸興,"1,090,512,898","6,769,342","8,025",161.10,161.32,163.50,170.00,03/30,150.50,03/02,11.18
1560   中砂,"1,659,659,231","23,450,376","16,233",70.77,70.15,71.60,74.00,03/08,67.30,03/03,16.62
1583   程泰,"15,273,492","240,459",262,63.52,63.57,63.10,65.00,03/09,62.20,03/03,0.22
1589   永冠-KY,"1,961,746,965","24,256,160","16,986",80.88,80.58,80.00,84.70,03/12,77.00,03/24,21.93
1590   亞德客-KY,"17,990,484,718","18,415,082","18,747",976.94,976.27,"1,005.00","1,050.00",03/29,893.00,03/05,9.74
1597   直得,"8,737,727,545","72,145,199","54,804",121.11,119.50,124.00,138.50,03/24,105.00,03/03,88.86
2049   上銀,"20,398,023,822","49,125,132","48,540",415.23,414.16,402.50,443.00,03/08,391.50,03/25,14.85
2241   艾姆勒,"614,271,063","10,064,895","7,147",61.03,59.65,60.50,65.40,03/23,57.30,03/09,11.87
2371   大同,"31,745,106,438","1,100,983,058","327,199",28.83,28.02,27.05,30.70,03/02,27.05,03/31,47.06
3167   大量,"790,797,678","13,801,660","9,570",57.30,57.21,63.00,63.70,03/31,50.50,03/05,17.22
4526   東台,"139,304,317","9,069,774","6,222",15.36,15.34,15.30,15.65,03/30,14.80,03/02,3.56
4532   瑞智,"602,431,346","27,730,487","12,790",21.72,21.70,21.60,22.95,03/22,20.75,03/03,5.49
4540   全球傳動,"761,777,526","12,577,535","9,461",60.57,59.87,58.80,63.50,03/09,58.20,03/25,13.36
4552   力達-KY,"237,704,318","6,617,454","4,801",35.92,35.72,35.50,37.50,03/16,33.90,03/08,5.70
4555   氣立,"973,210,201","15,924,879","11,501",61.11,59.23,57.00,67.50,03/08,53.90,03/02,23.81
4560   強信-KY,"180,004,603","4,231,651","1,658",42.54,42.65,42.70,43.20,03/04,42.05,03/05,6.22
4562   穎漢,"448,684,676","17,190,443","10,264",26.10,24.93,23.55,30.05,03/08,21.00,03/03,25.45
4564   元翎,"2,404,351,457","62,161,589","33,408",38.68,37.87,38.80,41.45,03/23,35.45,03/03,34.01
4566   時碩工業,"598,919,929","9,657,247","7,200",62.02,61.44,60.60,66.60,03/02,58.40,03/09,14.32
4571   鈞興-KY,"3,249,942,873","18,840,364","14,950",172.50,173.50,159.00,203.00,03/18,145.50,03/24,38.93
4572   駐龍,"546,544,949","5,649,746","4,593",96.74,95.68,99.40,105.00,03/22,86.50,03/03,15.78
4576   大銀微系統,"8,866,744,633","53,761,398","45,497",164.93,161.32,158.00,179.50,03/04,150.00,03/02,45.32
5288   豐祥-KY,"597,007,533","4,354,241","3,420",137.11,137.09,140.00,146.00,03/18,128.00,03/11,6.61
8222   寶一,"136,213,189","9,631,005","6,288",14.14,13.64,13.80,14.85,03/16,13.20,03/05,14.04
8374   羅昇,"233,812,391","8,327,586","4,952",28.08,27.07,27.20,30.20,03/02,26.20,03/24,9.33
