STOCK,年分,平均本益比,最小本益比,最大本益比
1201,2019,8.282024793388429,6.08,14.48
1201,2020,26.83167346938773,6.37,45.59
1201,2021,27.750727272727264,20.33,29.73
1203,2019,13.86603305785124,12.96,14.84
1203,2020,16.17195918367345,13.65,19.74
1203,2021,18.756,17.9,21.1
1210,2019,14.294214876033047,10.94,18.18
1210,2020,13.936571428571426,11.03,15.71
1210,2021,14.266909090909088,13.46,15.45
1215,2019,15.989004524886882,13.3,21.33
1215,2020,12.234285714285713,10.18,14.15
1215,2021,11.214363636363634,10.68,12.39
1216,2019,21.73506787330318,10.24,25.62
1216,2020,20.65404081632653,17.76,23.31
1216,2021,18.632545454545458,17.57,19.26
1217,2019,74.61058823529416,17.48,150.4
1217,2020,46.414897959183705,19.0,72.4
1217,2021,21.536181818181824,19.17,24.76
1218,2019,20.0639366515837,18.91,21.93
1218,2020,17.77510204081632,14.56,24.06
1218,2021,17.757818181818187,16.49,18.89
1219,2019,108.45593750000002,107.06,109.41
1220,2019,24.34462686567168,18.04,28.85
1220,2020,14.755061224489792,12.47,19.02
1220,2021,12.836727272727272,11.98,14.27
1225,2019,49.18472636815921,22.05,89.51
1225,2020,22.61681632653062,19.6,26.42
1225,2021,25.323272727272727,21.96,31.4
1227,2019,17.599154228855724,15.63,20.45
1227,2020,17.211632653061205,14.83,20.37
1227,2021,14.866,14.19,16.55
1229,2019,13.64731343283582,12.16,15.02
1229,2020,18.614816326530622,11.27,26.85
1229,2021,20.119272727272726,19.1,22.04
1231,2019,14.001641791044777,12.3,15.32
1231,2020,13.745102040816331,10.73,15.46
1231,2021,13.263272727272728,12.58,15.8
1232,2019,19.176616915422883,16.77,20.83
1232,2020,19.20926530612246,14.5,21.53
1232,2021,19.095818181818185,17.08,20.38
1233,2019,20.464875621890545,18.81,23.02
1233,2020,31.413142857142844,17.84,47.7
1233,2021,47.53581818181817,44.8,55.87
1234,2019,17.410298507462684,15.82,18.8
1234,2020,15.916612244897982,13.83,17.41
1234,2021,15.01327272727273,14.66,15.66
1235,2019,113.97208955223884,10.15,487.5
1235,2020,112.54853061224496,26.13,406.67
1235,2021,34.155454545454546,31.15,44.85
1256,2019,12.882712765957447,11.45,15.8
1256,2020,14.875918367346946,10.37,19.93
1256,2021,16.422000000000004,13.75,19.97
1702,2019,13.275531914893612,12.54,14.18
1702,2020,12.13469387755102,9.02,13.93
1702,2021,11.666909090909089,11.07,12.42
1737,2019,17.081808510638297,13.87,20.21
1737,2020,19.581306122448936,15.77,21.59
1737,2021,20.285454545454545,18.31,20.79
