STOCK,?ÄÂ∞èÊú¨?äÊ?,?ÄÂ§ßÊú¨?äÊ?,Âπ≥Â??¨Á?ÊØ?EPS,‰æøÂ??°ÂÉπ,ÂÆâÂÖ®?°ÂÉπ,?àÁ??°ÂÉπ,ËßÄÂØüËÇ°???ÇË≤¥?°ÂÉπ,,
1201,6.08,45.59,20.95481,1.73333,10.53867,23.43017,36.32167,57.67217,79.02267
1203,12.96,21.1,16.26466,1.90222,24.6528,27.7959,30.93901,35.53795,40.13689
1210,10.94,18.18,14.1659,3.52444,38.55742,44.24217,49.92692,57.00066,64.0744
1215,10.18,21.33,13.14588,5.81778,59.22498,67.85241,76.47984,100.28652,124.0932
1216,10.24,25.62,20.34055,3.59556,36.81849,54.97704,73.13558,82.62686,92.11813
1217,17.48,150.4,47.52056,0.31556,5.51591,10.25564,14.99538,31.22747,47.45956
1218,14.56,24.06,18.53229,1.46222,21.28996,24.19414,27.09832,31.13969,35.18107
1219,107.06,109.41,108.45594,1.45333,155.59387,156.60825,157.62263,158.31591,159.0092
1220,11.98,28.85,17.31214,0.93333,11.18133,13.66966,16.158,21.54233,26.92667
1225,19.6,89.51,32.37494,1.85778,36.41244,48.27894,60.14544,113.21757,166.28969
1227,14.19,20.45,16.55893,3.52,49.9488,54.11811,58.28743,65.13571,71.984
1229,11.27,26.85,17.46047,2.63111,29.65262,37.79653,45.94043,58.29288,70.64533
1231,10.73,15.8,13.67001,3.44889,37.00658,42.07645,47.14633,50.81939,54.49244
1232,14.5,21.53,19.16057,7.65333,110.97333,128.80777,146.6422,155.70924,164.77627
1233,17.84,55.87,33.13795,1.12889,20.13938,28.77422,37.40906,50.24004,63.07102
1234,13.83,18.8,16.11339,2.07111,28.64347,31.00805,33.37263,36.15476,38.93689
1235,10.15,487.5,86.89202,0.44889,4.55622,21.78054,39.00486,128.9191,218.83333
1256,10.37,19.97,14.72688,20.03111,207.72262,251.35917,294.99571,347.5085,400.02129
1702,9.02,14.18,12.35904,3.94222,35.55884,42.14047,48.7221,52.31141,55.90071
1737,13.87,21.59,18.98286,1.80889,25.08929,29.71358,34.33788,36.69589,39.05391
