STOCK,SCORE_1,SCORE_2,SCORE_3,SCORE_4,FINAL_SCORE,FINAL_RANK
1201,30,10,5,36,81,5
1203,20,10,20,6,56,15
1210,10,10,25,8,53,18
1215,20,10,15,18,63,11
1216,10,10,10,20,50,19
1217,10,10,15,32,67,9
1218,10,10,25,10,55,16
1219,20,10,25,38,93,2
1220,30,10,20,26,86,4
1225,30,10,15,34,89,3
1227,0,10,35,16,61,13
1229,30,10,10,12,62,12
1231,30,10,20,4,64,10
1232,30,10,35,30,105,1
1233,30,0,20,28,78,6
1234,20,10,25,14,69,8
1256,20,10,25,2,57,14
1702,20,10,0,24,54,17
1737,20,10,25,22,77,7
